variant,dataset,model,kc,poison_rate,seed,run_tag,status,exit_code,summary_path,log_path,start_time,end_time
equal,cifar10,vgg11,8,0.01,0,mech24_equal_cifar10_vgg11_kc8_pr001_seed0,DONE,0,./results/cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_vgg11_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar10_vgg11_kc8_pr001_seed0.out,2026-06-17 11:53:39,2026-06-17 11:59:28
equal,gtsrb,vgg11,8,0.01,0,mech24_equal_gtsrb_vgg11_kc8_pr001_seed0,DONE,0,./results/gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_gtsrb_vgg11_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_equal_gtsrb_vgg11_kc8_pr001_seed0.out,2026-06-17 11:59:28,2026-06-17 12:04:39
equal,cifar100,vgg11,8,0.01,0,mech24_equal_cifar100_vgg11_kc8_pr001_seed0,DONE,0,./results/cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar100_vgg11_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar100_vgg11_kc8_pr001_seed0.out,2026-06-17 12:04:39,2026-06-17 12:09:21
equal,cifar10,resnet18,8,0.01,0,mech24_equal_cifar10_resnet18_kc8_pr001_seed0,DONE,0,./results/cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed0_mech24_equal_cifar10_resnet18_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar10_resnet18_kc8_pr001_seed0.out,2026-06-17 12:09:21,2026-06-17 12:19:08
equal,cifar10,vgg11,8,0.01,1,mech24_equal_cifar10_vgg11_kc8_pr001_seed1,DONE,0,./results/cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_vgg11_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar10_vgg11_kc8_pr001_seed1.out,2026-06-17 12:19:08,2026-06-17 12:24:49
equal,gtsrb,vgg11,8,0.01,1,mech24_equal_gtsrb_vgg11_kc8_pr001_seed1,DONE,0,./results/gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_gtsrb_vgg11_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_equal_gtsrb_vgg11_kc8_pr001_seed1.out,2026-06-17 12:24:49,2026-06-17 12:29:53
equal,cifar100,vgg11,8,0.01,1,mech24_equal_cifar100_vgg11_kc8_pr001_seed1,DONE,0,./results/cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar100_vgg11_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar100_vgg11_kc8_pr001_seed1.out,2026-06-17 12:29:53,2026-06-17 12:34:30
equal,cifar10,resnet18,8,0.01,1,mech24_equal_cifar10_resnet18_kc8_pr001_seed1,DONE,0,./results/cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed1_mech24_equal_cifar10_resnet18_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar10_resnet18_kc8_pr001_seed1.out,2026-06-17 12:34:30,2026-06-17 12:43:56
equal,cifar10,vgg11,8,0.01,2,mech24_equal_cifar10_vgg11_kc8_pr001_seed2,DONE,0,./results/cifar10_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar10_vgg11_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar10_vgg11_kc8_pr001_seed2.out,2026-06-17 12:43:56,2026-06-17 12:49:38
equal,gtsrb,vgg11,8,0.01,2,mech24_equal_gtsrb_vgg11_kc8_pr001_seed2,DONE,0,./results/gtsrb_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_gtsrb_vgg11_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_equal_gtsrb_vgg11_kc8_pr001_seed2.out,2026-06-17 12:49:38,2026-06-17 12:54:46
equal,cifar100,vgg11,8,0.01,2,mech24_equal_cifar100_vgg11_kc8_pr001_seed2,DONE,0,./results/cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar100_vgg11_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar100_vgg11_kc8_pr001_seed2.out,2026-06-17 12:54:46,2026-06-17 12:59:22
equal,cifar10,resnet18,8,0.01,2,mech24_equal_cifar10_resnet18_kc8_pr001_seed2,DONE,0,./results/cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar10_resnet18_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_equal_cifar10_resnet18_kc8_pr001_seed2.out,2026-06-17 12:59:22,2026-06-17 13:08:58
no_ema,cifar10,vgg11,8,0.01,0,mech24_no_ema_cifar10_vgg11_kc8_pr001_seed0,DONE,0,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar10_vgg11_kc8_pr001_seed0.out,2026-06-17 13:08:58,2026-06-17 13:14:45
no_ema,gtsrb,vgg11,8,0.01,0,mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed0,DONE,0,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed0.out,2026-06-17 13:14:45,2026-06-17 13:19:50
no_ema,cifar100,vgg11,8,0.01,0,mech24_no_ema_cifar100_vgg11_kc8_pr001_seed0,DONE,0,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar100_vgg11_kc8_pr001_seed0.out,2026-06-17 13:19:50,2026-06-17 13:24:33
no_ema,cifar10,resnet18,8,0.01,0,mech24_no_ema_cifar10_resnet18_kc8_pr001_seed0,DONE,0,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed0/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar10_resnet18_kc8_pr001_seed0.out,2026-06-17 13:24:33,2026-06-17 13:34:22
no_ema,cifar10,vgg11,8,0.01,1,mech24_no_ema_cifar10_vgg11_kc8_pr001_seed1,DONE,0,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar10_vgg11_kc8_pr001_seed1.out,2026-06-17 13:34:22,2026-06-17 13:40:02
no_ema,gtsrb,vgg11,8,0.01,1,mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed1,DONE,0,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed1.out,2026-06-17 13:40:02,2026-06-17 13:45:05
no_ema,cifar100,vgg11,8,0.01,1,mech24_no_ema_cifar100_vgg11_kc8_pr001_seed1,DONE,0,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar100_vgg11_kc8_pr001_seed1.out,2026-06-17 13:45:05,2026-06-17 13:49:44
no_ema,cifar10,resnet18,8,0.01,1,mech24_no_ema_cifar10_resnet18_kc8_pr001_seed1,DONE,0,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed1/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar10_resnet18_kc8_pr001_seed1.out,2026-06-17 13:49:44,2026-06-17 13:59:20
no_ema,cifar10,vgg11,8,0.01,2,mech24_no_ema_cifar10_vgg11_kc8_pr001_seed2,DONE,0,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar10_vgg11_kc8_pr001_seed2.out,2026-06-17 13:59:20,2026-06-17 14:04:59
no_ema,gtsrb,vgg11,8,0.01,2,mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed2,DONE,0,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed2.out,2026-06-17 14:05:00,2026-06-17 14:10:08
no_ema,cifar100,vgg11,8,0.01,2,mech24_no_ema_cifar100_vgg11_kc8_pr001_seed2,DONE,0,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar100_vgg11_kc8_pr001_seed2.out,2026-06-17 14:10:08,2026-06-17 14:14:44
no_ema,cifar10,resnet18,8,0.01,2,mech24_no_ema_cifar10_resnet18_kc8_pr001_seed2,DONE,0,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed2/summary.json,./logs_adaptive_mech_ablation/mech24_no_ema_cifar10_resnet18_kc8_pr001_seed2.out,2026-06-17 14:14:44,2026-06-17 14:24:28
