batch_size,ckpt,clean_acc,clean_loss,dataset,end_time,epochs,log_path,lr,model,num_classes,num_workers,seed,start_time,status,summary_path
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed0_e40/clean_classifier.pt,0.9069,0.32327299823760985,cifar10,2026-06-18 14:45:33,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed0_e40.out,0.01,resnet18,10,4,0,2026-06-18 14:42:40,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed0_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed1_e40/clean_classifier.pt,0.9055,0.35209105701446536,cifar10,2026-06-18 14:48:19,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed1_e40.out,0.01,resnet18,10,4,1,2026-06-18 14:45:33,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed1_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed2_e40/clean_classifier.pt,0.8952,0.40609122195243835,cifar10,2026-06-18 14:51:02,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed2_e40.out,0.01,resnet18,10,4,2,2026-06-18 14:48:19,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_resnet18_seed2_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed0_e40/clean_classifier.pt,0.8746,0.43471650252342225,cifar10,2026-06-18 14:52:26,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed0_e40.out,0.01,vgg11,10,4,0,2026-06-18 14:51:02,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed0_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed1_e40/clean_classifier.pt,0.8669,0.4487144920349121,cifar10,2026-06-18 14:53:51,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed1_e40.out,0.01,vgg11,10,4,1,2026-06-18 14:52:26,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed1_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed2_e40/clean_classifier.pt,0.832,0.5673210350036622,cifar10,2026-06-18 14:55:16,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed2_e40.out,0.01,vgg11,10,4,2,2026-06-18 14:53:51,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar10_vgg11_seed2_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed0_e40/clean_classifier.pt,0.6511,1.6975835306167602,cifar100,2026-06-18 14:58:03,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed0_e40.out,0.01,resnet18,100,4,0,2026-06-18 14:55:16,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed0_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed1_e40/clean_classifier.pt,0.6606,1.6427309436798097,cifar100,2026-06-18 15:00:50,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed1_e40.out,0.01,resnet18,100,4,1,2026-06-18 14:58:03,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed1_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed2_e40/clean_classifier.pt,0.6617,1.6463937187194824,cifar100,2026-06-18 15:03:39,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed2_e40.out,0.01,resnet18,100,4,2,2026-06-18 15:00:50,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_resnet18_seed2_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed0_e40/clean_classifier.pt,0.616,1.6934436698913575,cifar100,2026-06-18 15:05:03,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed0_e40.out,0.01,vgg11,100,4,0,2026-06-18 15:03:39,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed0_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed1_e40/clean_classifier.pt,0.6261,1.6236108791351318,cifar100,2026-06-18 15:06:31,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed1_e40.out,0.01,vgg11,100,4,1,2026-06-18 15:05:03,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed1_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed2_e40/clean_classifier.pt,0.6247,1.6339842420578004,cifar100,2026-06-18 15:07:57,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed2_e40.out,0.01,vgg11,100,4,2,2026-06-18 15:06:31,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_cifar100_vgg11_seed2_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed0_e40/clean_classifier.pt,0.9561361836896278,0.189511221444628,gtsrb,2026-06-18 15:09:33,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed0_e40.out,0.01,resnet18,43,4,0,2026-06-18 15:07:57,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed0_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed1_e40/clean_classifier.pt,0.9269992082343627,0.32968139116130973,gtsrb,2026-06-18 15:11:09,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed1_e40.out,0.01,resnet18,43,4,1,2026-06-18 15:09:33,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed1_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed2_e40/clean_classifier.pt,0.9469517022961204,0.2599629592324474,gtsrb,2026-06-18 15:12:46,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed2_e40.out,0.01,resnet18,43,4,2,2026-06-18 15:11:09,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_resnet18_seed2_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed0_e40/clean_classifier.pt,0.9267616785431513,0.3041672456575969,gtsrb,2026-06-18 15:14:12,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed0_e40.out,0.01,vgg11,43,4,0,2026-06-18 15:12:46,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed0_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed1_e40/clean_classifier.pt,0.9205067300079176,0.3304267153403444,gtsrb,2026-06-18 15:15:36,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed1_e40.out,0.01,vgg11,43,4,1,2026-06-18 15:14:12,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed1_e40/summary.json
128,paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed2_e40/clean_classifier.pt,0.9199524940617577,0.3222147173100016,gtsrb,2026-06-18 15:17:01,40,./logs_clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed2_e40.out,0.01,vgg11,43,4,2,2026-06-18 15:15:36,DONE,./paper_results/clean_reference/clean_ref_main18_e40/clean_ref_gtsrb_vgg11_seed2_e40/summary.json
