dataset,model,kc,category,num_seeds,pooled_target_leakage_rate_mean,pooled_target_leakage_rate_std,mean_pair_target_leakage_mean,mean_pair_target_leakage_std,p95_pair_target_leakage_mean,p95_pair_target_leakage_std,max_pair_target_leakage_mean,max_pair_target_leakage_std,pooled_prediction_change_rate_mean,pooled_prediction_change_rate_std,pooled_raw_target_rate_mean,pooled_raw_target_rate_std,worst_target_changed_rate_mean,worst_target_changed_rate_std
cifar10,resnet18,4,seen_p1_unseen_p2,3,0.028997222222222223,0.006334409630768317,0.028997222222222223,0.006334409630768317,0.05649999999999999,0.03792019382861853,0.06566666666666666,0.05032299010723959,0.05428333333333333,0.007956945777816452,0.39849444444444443,0.001411567620820236,0.010930555555555554,0.0032595195340099736
cifar10,resnet18,4,unseen_p1_seen_p2,3,0.04279444444444445,0.015917291290826998,0.04279444444444445,0.015917291290826998,0.07407333333333332,0.043883578173769436,0.08463333333333334,0.049840579183365576,0.06816666666666667,0.013090414750241235,0.4121694444444445,0.015585183342354834,0.018574999999999998,0.006819798587772059
cifar10,resnet18,4,unseen_p1_unseen_p2,3,0.04135833333333333,0.003909470339231818,0.04135833333333333,0.003909470339231818,0.06509333333333332,0.010207420503405028,0.06993333333333333,0.008187999348640262,0.07354722222222222,0.005472166525379278,0.40605555555555556,0.0027360420183041687,0.020369444444444443,0.0018275350227175565
cifar10,resnet18,8,seen_p1_unseen_p2,3,0.038650000000000004,0.00294626646980736,0.038650000000000004,0.00294626646980736,0.044814999999999994,0.003518817272891559,0.0463,0.004158124577258359,0.044158333333333334,0.003786333245297412,0.7991916666666666,0.001704181947771721,0.00833611111111111,0.0005014792931731893
cifar10,resnet18,8,unseen_p1_seen_p2,3,0.043658333333333334,0.006030357230988337,0.043658333333333334,0.006030357230988337,0.05992666666666666,0.011004164363246003,0.06366666666666666,0.01591047872734612,0.04811666666666667,0.006824221567329129,0.8014611111111111,0.0021673449792912734,0.012008333333333333,0.0021540820421804847
cifar10,resnet18,8,unseen_p1_unseen_p2,3,0.05584444444444444,0.008694224349361882,0.05584444444444444,0.008694224349361882,0.06779833333333334,0.013459277779039016,0.0702,0.015189140857862896,0.060399999999999995,0.009450323333680764,0.8029638888888889,0.0017569768332543658,0.017525,0.0039344719397200485
cifar10,vgg11,4,seen_p1_unseen_p2,3,0.07540555555555556,0.020738233500076704,0.07540555555555556,0.020738233500076704,0.11865333333333333,0.022792299320896384,0.12576666666666667,0.017756782741626752,0.14716666666666667,0.025435835667638497,0.39934166666666665,0.01253741345378349,0.05338888888888889,0.029091071479318446
cifar10,vgg11,4,unseen_p1_seen_p2,3,0.10772777777777778,0.02450722163030802,0.10772777777777778,0.02450722163030802,0.19044333333333333,0.03355103438544531,0.19436666666666666,0.031655699855370964,0.178025,0.03373435851538376,0.4348916666666667,0.02052521992032672,0.06742777777777778,0.03364955870328652
cifar10,vgg11,4,unseen_p1_unseen_p2,3,0.1528861111111111,0.03887252344141944,0.1528861111111111,0.038872523441419435,0.24267,0.056238916908133985,0.2474,0.05977181610090159,0.24131388888888888,0.049907658016618096,0.45710833333333334,0.0304236795568481,0.10929444444444444,0.04481877577575092
cifar10,vgg11,8,seen_p1_unseen_p2,3,0.09702777777777777,0.008385078236786884,0.09702777777777777,0.008385078236786884,0.13054666666666664,0.01981044694935814,0.1469,0.025215669731339665,0.10753333333333333,0.008108243404777083,0.8033,0.0035327731474170693,0.025777777777777778,0.00741847044232864
cifar10,vgg11,8,unseen_p1_seen_p2,3,0.16063333333333332,0.032182009510145757,0.16063333333333332,0.032182009510145757,0.29206666666666664,0.06810209657810347,0.3192,0.0772853802474957,0.17382777777777778,0.028210004053592464,0.805525,0.008719008608271428,0.06619166666666666,0.02246885344204283
cifar10,vgg11,8,unseen_p1_unseen_p2,3,0.21944444444444444,0.03273332944387848,0.21944444444444444,0.03273332944387848,0.2915933333333333,0.04340276613688731,0.2979,0.045474828201984424,0.2333138888888889,0.03151271825845934,0.8100499999999999,0.0040663848946098265,0.11938055555555556,0.032056224838959535
cifar100,resnet18,4,seen_p1_unseen_p2,3,0.008377777777777779,0.000608979869520727,0.008377777777777777,0.0006089798695207268,0.014399999999999994,0.0035180143547177234,0.018433333333333333,0.008179445783996207,0.15495277777777777,0.00758049550075962,0.04156388888888889,0.0010937109781398848,0.003247222222222222,0.00025239592648001227
cifar100,resnet18,4,unseen_p1_seen_p2,3,0.007255555555555556,0.001544734185451887,0.007255555555555556,0.001544734185451887,0.01236333333333333,0.004222689703652556,0.014233333333333332,0.005478442601080468,0.16930833333333334,0.010775370578829805,0.039169444444444444,0.002028141139438149,0.003194444444444444,0.0010436425704305162
cifar100,resnet18,4,unseen_p1_unseen_p2,3,0.01055,0.0017766033447127257,0.01055,0.0017766033447127257,0.01774833333333333,0.006188449590433239,0.019966666666666667,0.007259706146486463,0.19067222222222222,0.006443269169652356,0.041958333333333334,0.002129276742099169,0.0047,0.0012520816001097266
cifar100,resnet18,8,seen_p1_unseen_p2,3,0.012283333333333334,0.0023089950916650587,0.012283333333333334,0.0023089950916650587,0.015866666666666668,0.003017326355125237,0.016233333333333336,0.0031085902485424705,0.15215277777777778,0.00578481209080519,0.07848333333333334,0.002793233391211298,0.0029555555555555555,0.0004477050533719883
cifar100,resnet18,8,unseen_p1_seen_p2,3,0.01308888888888889,0.0016272491557271789,0.01308888888888889,0.0016272491557271789,0.01741833333333333,0.0032750279897022774,0.018133333333333335,0.002663331247391757,0.1533027777777778,0.004750791844329547,0.07963333333333333,0.0017931776574313838,0.0028388888888888886,0.00044035444477947194
cifar100,resnet18,8,unseen_p1_unseen_p2,3,0.013719444444444444,0.0015995297341313696,0.013719444444444446,0.0015995297341313698,0.016745,0.002085017985533937,0.017533333333333335,0.0024986663109213543,0.15472222222222223,0.009159945768479281,0.08080555555555556,0.00032758939972900856,0.002747222222222222,0.00028214620586051027
cifar100,vgg11,4,seen_p1_unseen_p2,3,0.011258333333333334,0.00249077464523255,0.011258333333333334,0.00249077464523255,0.016759999999999997,0.007123252417259965,0.019033333333333333,0.010408329997330665,0.3092083333333333,0.021163895816014393,0.03704444444444444,0.0022212098388374197,0.005033333333333333,0.0021494831420082777
cifar100,vgg11,4,unseen_p1_seen_p2,3,0.026580555555555555,0.01652154597734369,0.026580555555555555,0.01652154597734369,0.05543499999999996,0.057190799303734094,0.08933333333333333,0.11220349073595409,0.4067527777777778,0.04426887100226087,0.052088888888888886,0.015531161179789253,0.012019444444444444,0.006472089292864771
cifar100,vgg11,4,unseen_p1_unseen_p2,3,0.030119444444444445,0.011900762502804103,0.030119444444444445,0.011900762502804103,0.042254999999999994,0.018809837186961505,0.04953333333333333,0.02529749658233663,0.48104166666666665,0.04091019212182271,0.053755555555555556,0.011494362547369488,0.015113888888888889,0.008450436927121536
cifar100,vgg11,8,seen_p1_unseen_p2,3,0.027119444444444446,0.004983342623551356,0.027119444444444446,0.004983342623551356,0.04288666666666665,0.012962023697452994,0.052199999999999996,0.02193649926492374,0.28965555555555556,0.0028636773819947278,0.08158611111111111,0.006375464761562557,0.007669444444444445,0.003201750100133317
cifar100,vgg11,8,unseen_p1_seen_p2,3,0.044394444444444445,0.005971467652589767,0.044394444444444445,0.005971467652589767,0.08086166666666667,0.013485952259048414,0.08843333333333334,0.018016751464493632,0.38343333333333335,0.025965485905973983,0.09415555555555556,0.005242298142495787,0.01711111111111111,0.0036377871529778053
cifar100,vgg11,8,unseen_p1_unseen_p2,3,0.07472222222222222,0.017948896076649682,0.07472222222222222,0.017948896076649686,0.1223183333333333,0.014347581968169161,0.14283333333333334,0.026876817767982376,0.4768138888888889,0.028474421188797464,0.11962222222222223,0.017978038943646198,0.03389444444444444,0.01572811604291052
gtsrb,resnet18,4,seen_p1_unseen_p2,3,0.014623471452450075,0.009558072899659932,0.014623471452450075,0.009558072899659932,0.036896278701504345,0.020410613606912226,0.04386381631037213,0.02242081216476634,0.057605348816750244,0.0033158867855205216,0.16309712325151757,0.009559511319796972,0.0067432040116125625,0.003064478527944987
gtsrb,resnet18,4,unseen_p1_seen_p2,3,0.024190639570687077,0.011303111819616787,0.024190639570687077,0.011303111819616787,0.06196093956188967,0.03354911074411453,0.06756400105568752,0.03339245957727737,0.058258555467581595,0.014795952760467196,0.1733328934635348,0.009295955894336815,0.012586874285211576,0.006250835003193497
gtsrb,resnet18,4,unseen_p1_unseen_p2,3,0.06367775138558987,0.07464332840597923,0.06367775138558987,0.07464332840597923,0.19370810240168898,0.24444135402850226,0.2626286619160728,0.3536340184949044,0.14034705727104776,0.039014960342572826,0.20650347497140847,0.07277355459093518,0.03691167414445324,0.047825845250056793
gtsrb,resnet18,8,seen_p1_unseen_p2,3,0.0039346353479370105,0.0011512095187832404,0.0039346353479370105,0.0011512095187832404,0.010201900237529687,0.0040896419696001725,0.013380839271575613,0.004659323825749642,0.01885062021641594,0.0013609741457290831,0.30576229436086916,0.0003400608918313559,0.0016583091404944136,0.0006484350746813394
gtsrb,resnet18,8,unseen_p1_seen_p2,3,0.01125626814462919,0.011804791159465833,0.01125626814462919,0.011804791159465833,0.03881631037212984,0.04803687031290128,0.04309844286091317,0.051027211961678504,0.10664423330694114,0.02468727853090362,0.2665566992170318,0.023735134258200053,0.0072446555819477435,0.009728761537679136
gtsrb,resnet18,8,unseen_p1_unseen_p2,3,0.013286267264889592,0.001312403347596418,0.013286267264889592,0.001312403347596418,0.048890208498284494,0.011388525801302719,0.059065716547901825,0.012465469281751025,0.06553840063341251,0.012775081581612564,0.29418712061229874,0.0072093167118481545,0.00637591272983197,0.0012996031174199972
gtsrb,vgg11,4,seen_p1_unseen_p2,3,0.02334828890648368,0.0039518409203906585,0.02334828890648368,0.003951840920390658,0.09946687780416995,0.019374802959589738,0.11549221430456585,0.031897675177017394,0.1172275006598047,0.00827160127229928,0.1612650655406,0.0040828282505469635,0.01265505410398522,0.004162489205107798
gtsrb,vgg11,4,unseen_p1_seen_p2,3,0.036240872701680305,0.00534903604760938,0.036240872701680305,0.00534903604760938,0.13645288994457627,0.015431143095543476,0.24555291633676432,0.020890662946924706,0.20816178411190286,0.017366845528155147,0.1571720770651887,0.0113391770983498,0.024676695698073372,0.003499497382440777
gtsrb,vgg11,4,unseen_p1_unseen_p2,3,0.016154218351367995,0.006432118992954926,0.016154218351367995,0.006432118992954926,0.04013723937714436,0.016192113180382797,0.04542095539720243,0.020512741246891956,0.30665523005190465,0.018558316229984644,0.11679422890824316,0.013873435742545064,0.009998240520805841,0.003184939082581864
gtsrb,vgg11,8,seen_p1_unseen_p2,3,0.0513218087446116,0.008996175943678552,0.0513218087446116,0.008996175943678552,0.21581419899709675,0.06285736867638941,0.31504354711005544,0.016669064359252566,0.10442289082431601,0.01648801949863216,0.3253826867247295,0.006857751790042907,0.02410266561097915,0.004616337136330914
gtsrb,vgg11,8,unseen_p1_seen_p2,3,0.05888976862848597,0.0062778616925541425,0.05888976862848597,0.006277861692554146,0.25377012404328286,0.031236961738580076,0.4988387437318554,0.06769245838022407,0.20028811471804345,0.003571624262769089,0.28763525996305095,0.006167010656038358,0.040769332277645814,0.006976641464770322
gtsrb,vgg11,8,unseen_p1_unseen_p2,3,0.10529383302542447,0.022717385555915622,0.10529383302542447,0.022717385555915622,0.34940749538136706,0.09011684126424471,0.38873053576141464,0.11173000822157379,0.4057073106360517,0.010890825562814177,0.2856360517286883,0.02381063569739408,0.0444906307732911,0.01873612885599768
