dataset,model,kc,num_seeds,checkpoint_kind,clean_acc_mean,clean_acc_std,clean_acc_count,csg_mean,csg_std,csg_count,invalid_hit_mean,invalid_hit_std,invalid_hit_count,invalid_leak_mean,invalid_leak_std,invalid_leak_count,invalid_leak_legacy_mean,invalid_leak_legacy_std,invalid_leak_legacy_count,invalid_legacy_total_mean,invalid_legacy_total_std,invalid_legacy_total_count,invalid_total_mean,invalid_total_std,invalid_total_count,leakage_metric_version_mean,leakage_metric_version_std,leakage_metric_version_count,single_hit_mean,single_hit_std,single_hit_count,single_leak_mean,single_leak_std,single_leak_count,single_leak_legacy_mean,single_leak_legacy_std,single_leak_legacy_count,single_legacy_total_mean,single_legacy_total_std,single_legacy_total_count,single_total_mean,single_total_std,single_total_count,valid_asr_mean,valid_asr_std,valid_asr_count,valid_asr_c1_mean,valid_asr_c1_std,valid_asr_c1_count,valid_asr_c2_mean,valid_asr_c2_std,valid_asr_c2_count,valid_asr_c3_mean,valid_asr_c3_std,valid_asr_c3_count,valid_asr_c4_mean,valid_asr_c4_std,valid_asr_c4_count,wrong_asr_mean,wrong_asr_std,wrong_asr_count,valid_asr_c5_mean,valid_asr_c5_std,valid_asr_c5_count,valid_asr_c6_mean,valid_asr_c6_std,valid_asr_c6_count,valid_asr_c7_mean,valid_asr_c7_std,valid_asr_c7_count,valid_asr_c8_mean,valid_asr_c8_std,valid_asr_c8_count
cifar10,resnet18,4,6,last,0.9411666666666667,0.0016157557571200496,6,0.9871185185185186,0.002334873609783321,6,1538.0,276.8588087816604,6,0.012816666666666667,0.00230715673984717,6,0.02980787037037037,0.0042191547397680265,6,72000.0,0.0,6,120000.0,0.0,6,2.0,0.0,6,798.1666666666666,41.796730334640614,6,0.009977083333333334,0.0005224591291830072,6,0.030024305555555558,0.004402698365039164,6,48000.0,0.0,6,80000.0,0.0,6,0.9999351851851852,4.86441686539244e-05,6,0.999925925925926,5.7377531054899264e-05,6,0.9999629629629629,5.7377531054899264e-05,6,0.9998888888888889,9.938079899999627e-05,6,0.9999629629629629,5.7377531054899264e-05,6,9.25925925925926e-05,8.364140585656456e-05,6,,,,,,,,,,,,
cifar10,resnet18,8,6,last,0.9413833333333333,0.001343750968991884,6,0.2631267857142857,0.7719673793891417,6,32642.0,16125.157276752372,6,0.05828928571428571,0.028794923708486377,6,0.050733630952380954,0.017591605554657205,6,112000.0,0.0,6,560000.0,0.0,6,2.0,0.0,6,2825.0,506.4977788697597,6,0.01765625,0.003165611117935998,6,0.032130208333333334,0.002918717656851492,6,32000.0,0.0,6,160000.0,0.0,6,0.5967199074074074,0.441629048836212,6,0.5915370370370371,0.44745071825564176,6,0.5956111111111111,0.44344793144317923,6,0.6000555555555556,0.43818953422147655,6,0.6020925925925926,0.435873231183737,6,0.3177962962962963,0.34767261751710243,6,0.6093888888888889,0.42783866089109623,6,0.5986481481481482,0.43954389051293025,6,0.5891851851851851,0.45004449528532786,6,0.5872407407407407,0.4520891828147484,6
cifar10,vgg11,4,6,last,0.9071333333333333,0.0030552686734011875,6,0.9702124999999999,0.0028851443413407283,6,3499.5,339.42466027087664,6,0.0291625,0.002828538835590639,6,0.05454166666666667,0.002280300093960993,6,72000.0,0.0,6,120000.0,0.0,6,2.0,0.0,6,1852.1666666666667,73.1994990875393,6,0.023152083333333334,0.0009149937385942413,6,0.052822916666666664,0.0015351636494379207,6,48000.0,0.0,6,80000.0,0.0,6,0.9993749999999999,0.00016735967034879707,6,0.999462962962963,0.0003875638803047558,6,0.9995555555555555,0.00022222222222223476,6,0.9992592592592593,0.00022951012421970098,6,0.9992222222222222,0.0006245986365580123,6,0.0006111111111111111,0.0003634539385288028,6,,,,,,,,,,,,
cifar10,vgg11,8,6,last,0.9054833333333333,0.0018798049544212765,6,0.30201253306878306,0.6845649685183189,6,54027.0,15157.905844805871,6,0.09647678571428571,0.02706768900858191,6,0.07451636904761905,0.019726626100709084,6,112000.0,0.0,6,560000.0,0.0,6,2.0,0.0,6,6459.333333333333,1254.444206278887,6,0.040370833333333335,0.007840276289243041,6,0.048380208333333334,0.0035225510479504306,6,32000.0,0.0,6,160000.0,0.0,6,0.6253703703703704,0.4089944819184141,6,0.6295185185185186,0.4047843606178765,6,0.6232222222222222,0.4123999796433998,6,0.6197407407407407,0.41499954286255747,6,0.630462962962963,0.40343071623062354,6,0.2885740740740741,0.31367793829211743,6,0.627537037037037,0.4073993182698628,6,0.6281481481481481,0.40637859053810477,6,0.6213888888888889,0.41345553599741963,6,0.6229444444444444,0.4106980131735377,6
cifar100,resnet18,4,6,last,0.7647999999999999,0.00256748904574098,6,0.99471390993266,0.0008197178436721948,6,533.5,80.62939910479304,6,0.004445833333333334,0.0006719116592066088,6,0.008803530092592592,0.0008898550363724753,6,115200.0,0.0,6,120000.0,0.0,6,2.0,0.0,6,364.1666666666667,69.28612174647003,6,0.004552083333333333,0.0008660765218308754,6,0.009722222222222222,0.001165220302598596,6,76800.0,0.0,6,80000.0,0.0,6,0.9993771043771045,0.0002420381324757479,6,0.9995959595959596,0.0001564841756043411,6,0.9993771043771044,0.0003580757029264704,6,0.9991245791245792,0.0005445809190344902,6,0.9994107744107744,0.00022511130842351796,6,0.0,0.0,6,,,,,,,,,,,,
cifar100,resnet18,8,6,last,0.7652833333333333,0.0030485515686415362,6,0.6565968314093313,0.3628748400310924,6,73078.33333333333,73371.27643885356,6,0.1304970238095238,0.13102013649795277,6,0.1390236801242236,0.13091339972224336,6,515200.0,0.0,6,560000.0,0.0,6,2.0,0.0,6,1807.6666666666667,565.8966925744191,6,0.011297916666666666,0.00353685432859012,6,0.022828351449275364,0.003583482617309177,6,147200.0,0.0,6,160000.0,0.0,6,0.7870938552188552,0.23194792896662084,6,0.7939225589225589,0.2250149257974142,6,0.7881313131313131,0.23128844427391415,6,0.7842760942760942,0.23564071148760202,6,0.7871212121212121,0.23226953924994403,6,0.016767676767676768,0.018103422458297814,6,0.7880471380471381,0.2309002947030081,6,0.7817508417508418,0.23750289773532648,6,0.7876767676767676,0.23144787218513513,6,0.7858249158249158,0.23292679321520157,6
cifar100,vgg11,4,6,last,0.6861833333333334,0.0035363352028147366,6,0.9931029461279461,0.0007761472753728633,6,729.6666666666666,96.11174052459288,6,0.006080555555555556,0.0008009311710382741,6,0.011374421296296296,0.0007355390094263254,6,115200.0,0.0,6,120000.0,0.0,6,2.0,0.0,6,446.3333333333333,50.14645218424397,6,0.005579166666666666,0.0006268306523030496,6,0.011410590277777778,0.0010420138310378007,6,76800.0,0.0,6,80000.0,0.0,6,0.9991835016835018,0.00022454403836997443,6,0.9990740740740741,0.0004209427555564374,6,0.9992760942760943,0.00035807570292647356,6,0.9993602693602693,0.00013800607092200485,6,0.999023569023569,0.00039207883173090184,6,6.734006734006734e-05,8.247440211391172e-05,6,,,,,,,,,,,,
cifar100,vgg11,8,6,last,0.6821166666666667,0.002635463273632688,6,0.6838159601972102,0.32486158182707275,6,88656.83333333333,86268.98500484787,6,0.1583157738095238,0.15405175893722833,6,0.16760222567287786,0.15324818648802482,6,515200.0,0.0,6,560000.0,0.0,6,2.0,0.0,6,2923.0,923.7830914235224,6,0.01826875,0.005773644321397015,6,0.031614583333333335,0.005754089187312911,6,147200.0,0.0,6,160000.0,0.0,6,0.842131734006734,0.17082675045673212,6,0.8509427609427609,0.16203986966783784,6,0.8423232323232324,0.1718663285649593,6,0.8462962962962963,0.16548322621961326,6,0.8418013468013468,0.17036493616651155,6,0.010723905723905724,0.011487192118340477,6,0.8336700336700337,0.18041211273655042,6,0.836026936026936,0.17756990448595672,6,0.8458585858585859,0.16690001417971928,6,0.8401346801346802,0.17296428498356592,6
gtsrb,resnet18,4,6,last,0.9859857482185272,0.0019822624004162777,6,0.9994826031494678,0.0003642601015827166,6,70.0,50.41825066382212,6,0.00046186328846661384,0.0003326619864332418,6,0.0011071987480438185,0.0006796755483331958,6,127800.0,0.0,6,151560.0,0.0,6,2.0,0.0,6,44.5,33.39910178432947,6,0.0004404196357878068,0.0003305532638987477,6,0.0011365414710485132,0.000607995570854386,6,85200.0,0.0,6,101040.0,0.0,6,1.0,0.0,6,1.0,0.0,6,1.0,0.0,6,1.0,0.0,6,1.0,0.0,6,0.0,0.0,6,,,,,,,,,,,,
gtsrb,resnet18,8,6,last,0.985550277117973,0.002571349571768509,6,0.41236728314166887,0.642545841404793,6,14893.0,15479.497730869694,6,0.02105672435244882,0.021885954262625403,6,0.021012040661013264,0.021963606210754928,6,490560.0,0.0,6,707280.0,0.0,6,2.0,0.0,6,257.0,114.80592319214196,6,0.0012717735550277119,0.0005681211559389449,6,0.0011427416286149163,0.00043945177132885565,6,140160.0,0.0,6,202080.0,0.0,6,0.5486217748890347,0.4944753507972952,6,0.5511270220100769,0.4918654673638582,6,0.5538203190596138,0.48914033623091696,6,0.545861391694725,0.49764592079413467,6,0.5551176792556103,0.4873835343611035,6,0.1356837606837607,0.1487867469302135,6,0.5451684767474241,0.49835474669375307,6,0.5419861111111111,0.5017334075667261,6,0.5434027777777778,0.500199809750072,6,0.5524904214559387,0.4903463844625829,6
gtsrb,vgg11,4,6,last,0.9710081815782529,0.0016588702587535054,6,0.9979708765354223,0.0004238467458951065,6,306.5,62.69210476607083,6,0.0020223013987859593,0.00041364545240215635,6,0.0024178403755868547,0.0009366821440779604,6,127800.0,0.0,6,151560.0,0.0,6,2.0,0.0,6,164.0,28.74021572639983,6,0.0016231195566112431,0.0002844439402850339,6,0.002312206572769953,0.0008567271169434113,6,85200.0,0.0,6,101040.0,0.0,6,0.9999931779342082,1.671058018168905e-05,6,0.9999867409175285,3.247798651265254e-05,6,1.0,0.0,6,0.9999859708193042,3.436433421414899e-05,6,1.0,0.0,6,1.4029180695847363e-05,3.436433421412989e-05,6,,,,,,,,,,,,
gtsrb,vgg11,8,6,last,0.9709553972024281,0.0023069701159567223,6,0.4671050971774007,0.5780561307948887,6,30194.5,29218.163178064427,6,0.04269101346001584,0.04131060284196418,6,0.04240799630354425,0.04261204314977869,6,490560.0,0.0,6,707280.0,0.0,6,2.0,0.0,6,900.8333333333334,292.2022701257926,6,0.004457805489575086,0.0014459732290468756,6,0.004088184931506849,0.0015505402516327804,6,140160.0,0.0,6,202080.0,0.0,6,0.593880275589691,0.44470753013105424,6,0.6017369398037655,0.43635986743894345,6,0.6078645396025749,0.43130764206661043,6,0.5946127946127946,0.44401349821824876,6,0.5969485495347564,0.44166084202185174,6,0.12444953767412932,0.1359186470839645,6,0.5897382344750766,0.448582623143129,6,0.5880694444444444,0.4514318036864811,6,0.5861111111111111,0.4534988458908183,6,0.5859605911330049,0.45350077308555437,6
