dataset,model,kc,mode,num_seeds,clean_acc_mean,clean_acc_std,valid_asr_mean,valid_asr_std,wrong_asr_mean,wrong_asr_std,single_leak_mean,single_leak_std,invalid_leak_mean,invalid_leak_std,csg_mean,csg_std
cifar10,resnet18,4,fixed,3,0.9417333333333332,0.0013012814197295099,0.999962962962963,1.603750747746647e-05,3.7037037037037037e-05,6.415002990995842e-05,0.0097625,0.0003314268395890711,0.010872222222222222,0.0008880508202007688,0.9890907407407408,0.0008739205569831304
cifar10,resnet18,4,dynamic,3,0.9403,0.0005196152422706701,0.9999074074074074,5.7824055540704726e-05,0.00014814814814814815,6.415002990995842e-05,0.010191666666666667,0.0006591108278076858,0.014761111111111112,0.0010845292544250265,0.9851462962962962,0.0010937862280890377
cifar10,resnet18,8,fixed,3,0.9422,0.0015716233645501677,0.1935740740740741,0.0032944003338499744,0.6351481481481481,0.007350429006824175,0.0148625,0.001011110157203457,0.08454047619047618,0.001563282797110457,-0.44157407407407406,0.004597669777923504
cifar10,resnet18,8,dynamic,3,0.9405333333333333,0.0010016652800877819,0.9998657407407406,8.018753738733236e-06,0.0004444444444444445,6.639355251516202e-20,0.02045,0.0007843936750764889,0.032038095238095234,0.0017464882159451778,0.9678276455026454,0.0017444700056140651
cifar10,vgg11,4,fixed,3,0.9061,0.0034394767043839877,0.9994351851851851,5.7824055540704726e-05,0.00037037037037037035,6.415002990995844e-05,0.0225125,0.0005764926278800092,0.026619444444444446,0.0005137236971729436,0.9728157407407406,0.0005713473174887651
cifar10,vgg11,4,dynamic,3,0.9061333333333333,0.002779088579612615,0.9993148148148148,0.0002362472374476438,0.0008518518518518519,0.00039020939825380513,0.023791666666666666,0.0007304037125681486,0.031705555555555556,0.0005798906346442822,0.9676092592592592,0.00039130532320306636
cifar10,vgg11,8,fixed,3,0.9056333333333333,0.0028571547618800024,0.25203703703703706,0.007568773330765707,0.5748888888888889,0.007373626676905333,0.0333125,0.001578715854737641,0.1211267857142857,0.002607636328054158,-0.3228518518518519,0.01420786719484445
cifar10,vgg11,8,dynamic,3,0.9047999999999999,0.0018027756377319655,0.9987037037037036,0.0007719690498922891,0.0022592592592592595,0.001316248566216064,0.04742916666666666,0.001312356142909895,0.07182678571428572,0.001407907469927463,0.926876917989418,0.0021513226771090275
cifar100,resnet18,4,fixed,3,0.7654,0.002762245463386616,0.9992929292929293,0.00030617059729750673,0.0,0.0,0.004133333333333333,0.0005822012824902854,0.004086111111111111,0.0003150543750835071,0.9950873737373738,0.0008236769497065193
cifar100,resnet18,4,dynamic,3,0.7629333333333334,0.000808290376865497,0.9994612794612795,0.00017736790829717212,0.0,0.0,0.004970833333333333,0.0010050912064749815,0.004805555555555556,0.0008007519614110878,0.9943404461279463,0.0007635273409083996
cifar100,resnet18,8,fixed,3,0.7658999999999999,0.0020952326839756958,0.5754377104377104,0.01022209880766185,0.03323232323232323,0.002457681830423523,0.014329166666666665,0.0006978016074310323,0.2500767857142857,0.003809196461010044,0.32536092472342465,0.0064143345654151356
cifar100,resnet18,8,dynamic,3,0.7615,0.0008888194417315234,0.9987499999999999,0.00037710061926935656,0.00030303030303030303,0.00020202020202020202,0.008266666666666667,0.0017947115599263668,0.010917261904761904,0.0017950126958412558,0.9878327380952382,0.0015976535782223544
cifar100,vgg11,4,fixed,3,0.6857666666666667,0.002112660250332133,0.999023569023569,2.915910450447867e-05,0.00010101010101010101,0.00010101010101010101,0.005387500000000001,0.0007706531320899174,0.005594444444444444,0.00066673610749459,0.9934291245791246,0.0006669528642900371
cifar100,vgg11,4,dynamic,3,0.6869999999999999,0.0013527749258468876,0.9993434343434343,0.00022014641128992806,3.367003367003367e-05,5.831820900905311e-05,0.0057708333333333335,0.0005274249551673997,0.006566666666666668,0.0006710274046399131,0.9927767676767677,0.0008613989862123029
cifar100,vgg11,8,fixed,3,0.6835999999999999,0.001769180601295438,0.686199494949495,0.0031056756351722646,0.021144781144781143,0.002023566222399559,0.023104166666666665,0.0028604614283946105,0.2989321428571428,0.001600306890211117,0.3872673520923522,0.0023697468318380657
cifar100,vgg11,8,dynamic,3,0.6805666666666667,0.001755942292142151,0.9980639730639731,0.0004603538354839141,0.00030303030303030303,0.00010101010101010101,0.013433333333333334,0.0022386199478324435,0.017699404761904763,0.0029000628585141614,0.9803645683020683,0.002961715910861158
gtsrb,resnet18,4,fixed,3,0.9852731591448931,0.0026450186996817017,1.0,0.0,0.0,0.0,0.0004189759831089998,0.000384884502755406,0.0004948535233570863,0.00045774471023891385,0.9995051464766429,0.0004577447102389185
gtsrb,resnet18,4,dynamic,3,0.9874901029295328,0.0015815506219665869,1.0,0.0,0.0,0.0,0.0004618632884666139,0.0003516362886611447,0.0004288730535761414,0.00025271467408558403,0.9994600598222926,0.00034735965433616055
gtsrb,resnet18,8,fixed,3,0.9851939825811561,0.001768670459516136,0.09724354977806943,0.006146141252409704,0.27136752136752135,0.010653234969921009,0.0016660068619688574,0.000348699135965263,0.040971986577687296,0.002686033032329104,-0.17412397158945195,0.0157003323282121
gtsrb,resnet18,8,dynamic,3,0.9857746107152282,0.0006917573197192473,1.0,0.0,0.0,0.0,0.0008775402480865664,0.00046803133574081557,0.0011414621272103455,0.0006478448992876961,0.9988585378727897,0.0006478448992876888
gtsrb,vgg11,4,fixed,3,0.9705199261018739,0.001556244179235202,1.0,0.0,0.0,0.0,0.00147136447611507,0.0003527487711304412,0.0018100642209905868,0.0004729162924994529,0.9981899357790095,0.0004729162924994412
gtsrb,vgg11,4,dynamic,3,0.9691211401425178,0.0007797987174819137,0.9999863558684163,2.3632329128067716e-05,2.8058361391694725e-05,4.859850750754426e-05,0.0017748746371074164,9.354346053548316e-05,0.002234538576581332,0.00026262658301360047,0.997751817291835,0.00028548990122289795
gtsrb,vgg11,8,fixed,3,0.9697281604645025,0.00188089477989937,0.18797164139389413,0.011246994156246888,0.2484816428781946,0.005727141473575643,0.005562153602533651,0.0012097524082420633,0.08031331297364551,0.004477251347883731,-0.06051000148430044,0.01546018136558281
gtsrb,vgg11,8,dynamic,3,0.9727896542623383,0.0018574176099142707,0.999788909785488,0.00012476583631797618,0.000417432470064049,8.396024610930912e-05,0.0033534573766165216,0.00032379205482488686,0.005068713946386155,0.00023817263558477175,0.9947201958391018,0.0003628479671977556
